Epoch,Precision,Recall,F1,TN,FP,FN,TP
1,0.2282,0.8458,0.3594,59991,102453,5520,30289
2,0.2281,0.9098,0.3647,52177,110267,3229,32580
3,0.2345,0.8439,0.367,63801,98643,5589,30220
4,0.231,0.8763,0.3657,58000,104444,4430,31379
5,0.2319,0.8851,0.3675,57462,104982,4113,31696
6,0.2514,0.8004,0.3827,77124,85320,7149,28660
7,0.2527,0.8298,0.3874,74553,87891,6095,29714
8,0.2538,0.8182,0.3875,76314,86130,6509,29300
9,0.2503,0.8287,0.3845,73568,88876,6133,29676
10,0.2572,0.7928,0.3884,80472,81972,7420,28389
