Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.6001,0.3328,0.1263,0.1831,0.8711,0.9589,0.9129,334856,14351,49529,7157,0:03:59.963501
1,val,0.5837,0.3424,0.1623,0.2202,0.8769,0.9503,0.9121,83183,4346,11682,2263,0:00:16.669737
1,test,0.7379,0.3229,0.1289,0.1843,0.8302,0.9403,0.8819,76360,4847,15613,2311,0:00:16.079096
2,train,0.5796,0.3581,0.2088,0.2638,0.8797,0.9393,0.9085,327998,21209,44852,11834,0:03:25.411616
2,val,0.6013,0.3476,0.1956,0.2503,0.8802,0.9415,0.9098,82411,5118,11218,2727,0:00:17.005252
2,test,0.8111,0.3295,0.1467,0.2030,0.8322,0.9341,0.8802,75854,5353,15294,2630,0:00:16.437623
3,train,0.5657,0.3721,0.2729,0.3149,0.8869,0.9252,0.9056,323101,26106,41217,15469,0:03:16.254526
3,val,0.5960,0.3311,0.1449,0.2015,0.8750,0.9534,0.9125,83448,4081,11925,2020,0:00:16.850531
3,test,0.7805,0.2866,0.1303,0.1791,0.8287,0.9284,0.8757,75395,5812,15589,2335,0:00:16.328323
4,train,0.5533,0.3892,0.3215,0.3521,0.8929,0.9181,0.9053,320604,28603,38461,18225,0:03:19.220505
4,val,0.5912,0.3391,0.2224,0.2687,0.8826,0.9309,0.9061,81483,6046,10843,3102,0:00:16.815640
4,test,0.8020,0.3098,0.1843,0.2311,0.8347,0.9094,0.8705,73846,7361,14620,3304,0:00:16.671586
5,train,0.5375,0.4080,0.3682,0.3871,0.8990,0.9133,0.9061,318922,30285,35816,20870,0:03:18.094268
5,val,0.5775,0.3249,0.2883,0.3055,0.8886,0.9046,0.8965,79175,8354,9924,4021,0:00:16.753897
5,test,0.8205,0.2647,0.1689,0.2062,0.8301,0.8964,0.8620,72798,8409,14897,3027,0:00:17.066426
6,train,0.5211,0.4275,0.4159,0.4217,0.9056,0.9096,0.9076,317636,31571,33108,23578,0:03:17.857997
6,val,0.5518,0.3776,0.3647,0.3711,0.8993,0.9042,0.9018,79147,8382,8859,5086,0:00:16.736761
6,test,0.8193,0.2864,0.2348,0.2581,0.8376,0.8709,0.8539,70721,10486,13715,4209,0:00:16.281087
7,train,0.5047,0.4438,0.4542,0.4489,0.9111,0.9076,0.9093,316949,32258,30942,25744,0:03:17.086091
7,val,0.5785,0.3279,0.4841,0.3910,0.9111,0.8419,0.8751,73692,13837,7194,6751,0:00:17.089829
7,test,0.8632,0.2760,0.3582,0.3118,0.8484,0.7926,0.8195,64366,16841,11504,6420,0:00:16.559187
8,train,0.4863,0.4588,0.4972,0.4772,0.9173,0.9048,0.9110,315956,33251,28501,28185,0:03:16.945888
8,val,0.5497,0.4386,0.3534,0.3914,0.9001,0.9279,0.9138,81221,6308,9017,4928,0:00:16.837716
8,test,0.9062,0.2802,0.1884,0.2253,0.8329,0.8932,0.8620,72533,8674,14548,3376,0:00:16.561509
9,train,0.4659,0.4785,0.5367,0.5059,0.9233,0.9051,0.9141,316055,33152,26263,30423,0:03:16.677615
9,val,0.5581,0.3938,0.3798,0.3867,0.9017,0.9069,0.9043,79376,8153,8649,5296,0:00:16.956111
9,test,0.9341,0.2733,0.2138,0.2399,0.8344,0.8745,0.8540,71017,10190,14092,3832,0:00:16.501709
10,train,0.4459,0.5000,0.5764,0.5355,0.9295,0.9064,0.9178,316535,32672,24010,32676,0:03:16.733551
10,val,0.6219,0.3647,0.3124,0.3365,0.8929,0.9133,0.9030,79942,7587,9589,4356,0:00:16.891206
10,test,1.0018,0.2793,0.2011,0.2339,0.8339,0.8855,0.8589,71906,9301,14319,3605,0:00:16.422056
11,train,0.4245,0.5174,0.6086,0.5593,0.9346,0.9079,0.9210,317028,32179,22185,34501,0:03:16.786063
11,val,0.4807,0.4533,0.5314,0.4893,0.9232,0.8979,0.9104,78592,8937,6534,7411,0:00:16.808196
11,test,0.9518,0.2738,0.2527,0.2628,0.8378,0.8521,0.8449,69194,12013,13395,4529,0:00:16.392622
12,train,0.4046,0.5405,0.6397,0.5859,0.9397,0.9117,0.9255,318379,30828,20424,36262,0:03:19.167630
12,val,0.5670,0.3681,0.5321,0.4352,0.9198,0.8545,0.8859,74793,12736,6525,7420,0:00:16.770366
12,test,1.0133,0.2513,0.3289,0.2849,0.8410,0.7837,0.8113,63640,17567,12029,5895,0:00:16.491277
13,train,0.3835,0.5587,0.6718,0.6101,0.9449,0.9139,0.9291,319129,30078,18602,38084,0:03:11.736224
13,val,0.4981,0.4413,0.5620,0.4944,0.9270,0.8867,0.9064,77608,9921,6108,7837,0:00:16.754226
13,test,1.1087,0.2524,0.2622,0.2572,0.8357,0.8285,0.8321,67283,13924,13224,4700,0:00:16.524898
14,train,0.3622,0.5772,0.6994,0.6325,0.9495,0.9168,0.9329,320169,29038,17037,39649,0:03:14.620253
14,val,0.5839,0.4260,0.4555,0.4403,0.9123,0.9022,0.9072,78971,8558,7593,6352,0:00:14.068022
14,test,1.1937,0.2645,0.2279,0.2448,0.8346,0.8602,0.8472,69853,11354,13840,4084,0:00:10.106731
15,train,0.3415,0.5967,0.7249,0.6546,0.9537,0.9205,0.9368,321431,27776,15592,41094,0:02:43.905785
15,val,0.5429,0.4566,0.5041,0.4792,0.9197,0.9044,0.9120,79164,8365,6915,7030,0:00:13.687524
15,test,1.2185,0.2687,0.2489,0.2584,0.8369,0.8505,0.8436,69064,12143,13462,4462,0:00:12.953978
16,train,0.3228,0.6169,0.7461,0.6754,0.9573,0.9248,0.9408,322941,26266,14392,42294,0:03:17.834848
16,val,0.6117,0.4457,0.4815,0.4629,0.9163,0.9046,0.9104,79178,8351,7230,6715,0:00:17.097736
16,test,1.3365,0.2744,0.2619,0.2680,0.8387,0.8472,0.8429,68795,12412,13229,4695,0:00:16.420391
17,train,0.3054,0.6318,0.7655,0.6922,0.9606,0.9276,0.9438,323916,25291,13294,43392,0:03:18.593892
17,val,0.5546,0.4369,0.5473,0.4859,0.9248,0.8876,0.9058,77692,9837,6313,7632,0:00:17.000495
17,test,1.2814,0.2782,0.2903,0.2841,0.8418,0.8338,0.8378,67707,13500,12721,5203,0:00:16.611644
18,train,0.2841,0.6552,0.7884,0.7157,0.9645,0.9327,0.9483,325691,23516,11996,44690,0:03:18.919660
18,val,0.4464,0.5287,0.6458,0.5814,0.9415,0.9083,0.9246,79502,8027,4940,9005,0:00:16.868208
18,test,1.3539,0.2807,0.2720,0.2763,0.8404,0.8461,0.8433,68711,12496,13048,4876,0:00:16.657419
19,train,0.2670,0.6703,0.8044,0.7313,0.9672,0.9358,0.9512,326782,22425,11088,45598,0:03:18.100419
19,val,0.4579,0.5144,0.6511,0.5748,0.9420,0.9021,0.9216,78958,8571,4865,9080,0:00:16.910233
19,test,1.4139,0.2606,0.2556,0.2581,0.8364,0.8399,0.8381,68205,13002,13342,4582,0:00:16.312167
20,train,0.2501,0.6920,0.8202,0.7506,0.9699,0.9407,0.9551,328513,20694,10194,46492,0:03:13.987288
20,val,0.5015,0.4848,0.6399,0.5516,0.9395,0.8917,0.9150,78046,9483,5022,8923,0:00:10.724816
20,test,1.4831,0.2668,0.2684,0.2676,0.8383,0.8372,0.8377,67986,13221,13114,4810,0:00:10.694607
21,train,0.2333,0.7088,0.8361,0.7672,0.9726,0.9443,0.9582,329739,19468,9290,47396,0:02:44.347216
21,val,0.4370,0.5811,0.6678,0.6214,0.9458,0.9233,0.9344,80815,6714,4633,9312,0:00:17.558549
