Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.5055,0.3270,0.0842,0.1340,0.8698,0.9724,0.9183,340569,9651,50983,4690,0:02:29.656750
1,val,0.5130,0.3085,0.0360,0.0644,0.8554,0.9861,0.9161,85310,1206,14420,538,0:00:13.682547
1,test,0.5894,0.2649,0.0238,0.0436,0.8206,0.9854,0.8955,80025,1182,17498,426,0:00:16.843291
2,train,0.4910,0.3513,0.1487,0.2089,0.8760,0.9564,0.9144,334940,15280,47397,8276,0:02:49.517224
2,val,0.5127,0.3401,0.0854,0.1365,0.8600,0.9714,0.9123,84038,2478,13681,1277,0:00:18.005727
2,test,0.5869,0.4246,0.0826,0.1383,0.8281,0.9753,0.8957,79201,2006,16444,1480,0:00:17.262457
3,train,0.4827,0.3570,0.2070,0.2621,0.8818,0.9407,0.9103,329462,20758,44147,11526,0:02:46.341481
3,val,0.5134,0.2969,0.1237,0.1747,0.8624,0.9493,0.9038,82132,4384,13107,1851,0:00:10.168882
3,test,0.5849,0.3116,0.1076,0.1600,0.8279,0.9475,0.8837,76945,4262,15995,1929,0:00:09.519619
4,train,0.4722,0.3754,0.2681,0.3128,0.8887,0.9291,0.9085,325386,24834,40747,14926,0:02:20.780817
4,val,0.5412,0.2658,0.1978,0.2268,0.8672,0.9056,0.8860,78347,8169,12000,2958,0:00:09.962255
4,test,0.6077,0.2677,0.1320,0.1768,0.8277,0.9203,0.8716,74736,6471,15558,2366,0:00:09.621375
5,train,0.4609,0.3947,0.3155,0.3507,0.8945,0.9231,0.9086,323282,26938,38109,17564,0:02:21.314706
5,val,0.5333,0.2600,0.3055,0.2809,0.8762,0.8496,0.8627,73507,13009,10388,4570,0:00:09.933615
5,test,0.6227,0.2771,0.2279,0.2501,0.8360,0.8688,0.8521,70553,10654,13840,4084,0:00:09.729101
6,train,0.4493,0.4083,0.3599,0.3826,0.9001,0.9171,0.9085,321176,29044,35634,20039,0:02:24.769445
6,val,0.5318,0.2619,0.2220,0.2403,0.8689,0.8918,0.8802,77159,9357,11638,3320,0:00:10.307408
6,test,0.6075,0.3058,0.2102,0.2492,0.8369,0.8947,0.8648,72653,8554,14156,3768,0:00:09.930417
7,train,0.4366,0.4262,0.4017,0.4136,0.9058,0.9140,0.9099,320110,30110,33308,22365,0:02:24.090117
7,val,0.5847,0.2337,0.2034,0.2175,0.8653,0.8847,0.8749,76539,9977,11915,3043,0:00:11.539724
7,test,0.6933,0.2767,0.1550,0.1987,0.8300,0.9106,0.8684,73944,7263,15146,2778,0:00:11.248469
8,train,0.4246,0.4400,0.4397,0.4398,0.9109,0.9110,0.9110,319060,31160,31194,24479,0:02:26.184494
8,val,0.5708,0.2365,0.2166,0.2261,0.8665,0.8791,0.8728,76056,10460,11718,3240,0:00:10.230912
8,test,0.6458,0.2838,0.2062,0.2388,0.8348,0.8851,0.8592,71878,9329,14228,3696,0:00:09.924096
9,train,0.4127,0.4589,0.4705,0.4646,0.9155,0.9118,0.9136,319331,30889,29477,26196,0:02:24.980255
9,val,0.5842,0.2730,0.2610,0.2669,0.8732,0.8798,0.8765,76119,10397,11054,3904,0:00:10.332690
9,test,0.6899,0.2922,0.2263,0.2551,0.8373,0.8790,0.8577,71383,9824,13868,4056,0:00:10.162468
10,train,0.3985,0.4756,0.5029,0.4889,0.9203,0.9119,0.9160,319355,30865,27675,27998,0:02:55.253991
10,val,0.6752,0.2556,0.1702,0.2044,0.8644,0.9143,0.8886,79103,7413,12412,2546,0:00:17.377441
10,test,0.7354,0.3155,0.1973,0.2428,0.8364,0.9055,0.8696,73535,7672,14388,3536,0:00:16.736190
11,train,0.3860,0.4878,0.5315,0.5087,0.9244,0.9113,0.9178,319151,31069,26084,29589,0:03:36.269291
11,val,0.6043,0.2570,0.2311,0.2434,0.8693,0.8845,0.8768,76522,9994,11501,3457,0:00:18.018909
11,test,0.7163,0.2982,0.2238,0.2557,0.8376,0.8837,0.8601,71766,9441,13912,4012,0:00:17.767944
12,train,0.3735,0.5029,0.5557,0.5280,0.9282,0.9127,0.9204,319645,30575,24738,30935,0:03:35.720766
12,val,0.6367,0.2479,0.2617,0.2546,0.8711,0.8627,0.8669,74640,11876,11044,3914,0:00:19.427583
12,test,0.7601,0.2645,0.2615,0.2630,0.8374,0.8395,0.8385,68174,13033,13237,4687,0:00:16.619035
13,train,0.3612,0.5178,0.5813,0.5477,0.9321,0.9139,0.9229,320082,30138,23308,32365,0:02:40.143663
13,val,0.6571,0.2673,0.2764,0.2717,0.8741,0.8690,0.8716,75182,11334,10824,4134,0:00:16.706294
13,test,0.7964,0.2776,0.2512,0.2637,0.8381,0.8558,0.8468,69493,11714,13422,4502,0:00:16.847815
14,train,0.3498,0.5317,0.6014,0.5644,0.9353,0.9158,0.9254,320726,29494,22190,33483,0:03:36.857468
14,val,0.6459,0.2622,0.3974,0.3160,0.8856,0.8066,0.8443,69787,16729,9013,5945,0:00:17.454646
14,test,0.7665,0.2879,0.3450,0.3139,0.8488,0.8117,0.8298,65914,15293,11740,6184,0:00:16.822882
15,train,0.3367,0.5439,0.6277,0.5828,0.9393,0.9163,0.9277,320914,29306,20729,34944,0:03:33.832402
15,val,0.7596,0.2369,0.2757,0.2549,0.8711,0.8465,0.8586,73234,13282,10834,4124,0:00:17.466300
15,test,0.7949,0.2722,0.2766,0.2744,0.8398,0.8368,0.8383,67954,13253,12967,4957,0:00:16.498780
16,train,0.3248,0.5588,0.6463,0.5994,0.9423,0.9189,0.9305,321807,28413,19691,35982,0:03:25.466342
16,val,0.7070,0.2499,0.2602,0.2550,0.8712,0.8650,0.8681,74835,11681,11066,3892,0:00:17.489949
16,test,0.8379,0.2819,0.2656,0.2735,0.8399,0.8506,0.8453,69077,12130,13163,4761,0:00:16.952997
17,train,0.3151,0.5700,0.6633,0.6131,0.9451,0.9205,0.9326,322361,27859,18743,36930,0:03:32.741722
17,val,0.7121,0.2500,0.2583,0.2541,0.8710,0.8660,0.8685,74921,11595,11094,3864,0:00:11.992123
17,test,0.8077,0.2702,0.2369,0.2524,0.8360,0.8588,0.8472,69737,11470,13678,4246,0:00:13.211843
18,train,0.3023,0.5826,0.6838,0.6292,0.9483,0.9221,0.9350,322943,27277,17602,38071,0:03:33.629122
18,val,0.8330,0.2480,0.2367,0.2422,0.8691,0.8759,0.8725,75780,10736,11418,3540,0:00:17.066950
18,test,0.8782,0.2788,0.2359,0.2556,0.8369,0.8653,0.8508,70267,10940,13695,4229,0:00:16.495687
19,train,0.2896,0.5960,0.7047,0.6458,0.9516,0.9241,0.9377,323630,26590,16443,39230,0:03:12.101311
19,val,0.7733,0.2497,0.2636,0.2565,0.8714,0.8631,0.8672,74671,11845,11015,3943,0:00:17.318575
19,test,0.9067,0.2764,0.2801,0.2782,0.8406,0.8381,0.8394,68061,13146,12903,5021,0:00:17.142281
20,train,0.2811,0.6085,0.7174,0.6585,0.9538,0.9266,0.9400,324517,25703,15731,39942,0:06:41.659666
20,val,0.7704,0.2421,0.2768,0.2583,0.8718,0.8501,0.8608,73551,12965,10817,4141,0:00:21.393240
20,test,0.8811,0.2668,0.2771,0.2718,0.8391,0.8320,0.8355,67561,13646,12958,4966,0:00:20.581002
21,train,0.2697,0.6207,0.7330,0.6722,0.9563,0.9288,0.9423,325277,24943,14864,40809,0:05:19.603651
21,val,0.8582,0.2320,0.2199,0.2258,0.8663,0.8742,0.8702,75628,10888,11668,3290,0:00:16.712608
21,test,1.0122,0.2636,0.2297,0.2455,0.8347,0.8583,0.8463,69704,11503,13807,4117,0:00:16.320773
22,train,0.2584,0.6326,0.7517,0.6871,0.9593,0.9306,0.9447,325919,24301,13822,41851,0:03:31.411310
22,val,0.8302,0.2460,0.3138,0.2758,0.8754,0.8337,0.8541,72128,14388,10264,4694,0:00:16.664288
22,test,0.9637,0.2737,0.2982,0.2854,0.8420,0.8253,0.8336,67023,14184,12579,5345,0:00:16.379839
23,train,0.2484,0.6443,0.7624,0.6984,0.9611,0.9331,0.9469,326787,23433,13228,42445,0:03:30.718013
23,val,0.9507,0.2459,0.2538,0.2498,0.8703,0.8654,0.8678,74872,11644,11162,3796,0:00:17.337462
